NUM_VERTEX,NUM_EDGES,TOTAL_ITR,INSERTS,UPDATES,DELETES,TIME
2000,1000000,1000,1,0.00629601,1,26.9268
2200,1210000,1100,1,0.00586742,1,38.0869
2400,1440000,1200,1,0.00547504,1,48.5589
2600,1690000,1300,1,0.00512748,1,61.4987
2800,1960000,1400,1,0.00482626,1,77.6707
3000,2250000,1500,1,0.00454742,1,93.1082
3200,2560000,1600,1,0.00429071,1,114.126
3400,2890000,1700,1,0.00407988,1,138.448
3600,3240000,1800,1,0.00388268,1,162.842
3800,3610000,1900,1,0.00370996,1,185.773
4000,4000000,2000,1,0.00352871,1,214.923
4200,4410000,2100,1,0.00337545,1,267.307
4400,4840000,2200,1,0.00325045,1,319.871
4600,5290000,2300,1,0.00313867,1,350.601
4800,5760000,2400,1,0.0030195,1,404.07
5000,6250000,2500,1,0.00293429,1,450.636
5200,6760000,2600,1,0.00284789,1,497.745
5400,7290000,2700,1,0.002738,1,564.103
5600,7840000,2800,1,0.00263774,1,659.011
5800,8410000,2900,1,0.00257443,1,666.436
6000,9000000,3000,1,0.00249098,1,787.596
1000,250000,500,1,0.0113682,1,5.96301
1200,360000,600,1,0.0098035,1,9.11665
1400,490000,700,1,0.0085734,1,13.7297
1600,640000,800,1,0.00765014,1,20.0312
1800,810000,900,1,0.00698763,1,25.8334
